__time,/RMSE/data
1669053231.296165,0.102036
1669053231.496150,0.102036
1669053231.696215,0.098876
1669053231.896235,0.098876
1669053232.096257,0.098876
1669053232.296242,0.098876
1669053232.496232,0.098876
1669053232.696271,0.098876
1669053232.896402,0.098876
1669053233.096464,0.097824
1669053233.296338,0.095288
1669053233.496344,0.093230
1669053233.696239,0.089316
1669053233.896198,0.089316
1669053234.096210,0.090366
1669053234.296220,0.089322
1669053234.496180,0.087821
1669053234.696278,0.087821
1669053234.896185,0.088654
1669053235.096286,0.089097
1669053235.296222,0.091737
1669053235.496233,0.091737
1669053235.696217,0.089167
1669053235.896267,0.092216
1669053236.096245,0.096505
1669053236.296214,0.094429
1669053236.496241,0.094429
1669053236.696518,0.097020
1669053236.896398,0.093902
1669053237.096280,0.094203
1669053237.296194,0.092598
1669053237.496251,0.092389
1669053237.696209,0.095402
1669053237.896218,0.095402
1669053238.096171,0.094733
1669053238.296225,0.094733
1669053238.496182,0.094733
1669053238.696217,0.094733
1669053238.896198,0.099298
1669053239.096175,0.098777
1669053239.296197,0.098777
1669053239.496163,0.098777
1669053239.696220,0.103018
1669053239.896232,0.103018
1669053240.096204,0.099787
1669053240.296222,0.099787
1669053240.496228,0.103478
1669053240.696446,0.103478
1669053240.896444,0.103478
1669053241.096359,0.103478
1669053241.296219,0.104029
1669053241.496164,0.106179
1669053241.696186,0.106179
1669053241.896267,0.106179
1669053242.096185,0.111632
1669053242.296228,0.111530
1669053242.496245,0.110914
1669053242.696200,0.112841
1669053242.896156,0.112841
1669053243.096215,0.117436
1669053243.296170,0.123034
1669053243.496233,0.126449
1669053243.696258,0.126449
1669053243.896180,0.120683
1669053244.096215,0.120683
1669053244.296219,0.121597
1669053244.496253,0.127131
1669053244.696464,0.127131
1669053244.896391,0.127518
1669053245.096388,0.128093
1669053245.296270,0.128985
1669053245.496194,0.131304
1669053245.696203,0.129251
1669053245.896336,0.134478
1669053246.096179,0.134478
1669053246.296170,0.134478
1669053246.496159,0.140698
